type,pattern,compromised,recall,symmetryH,symmetryV,length,start,end,stroke,direction,image
g,3.6.9.12,0,0,0,0,4,3,12,3.181980515339464,0,./analysis/4x4/Pattern-Proj-24MAR/guesses/15guess4.bmp
g,0.5.6.11.15,0,0,1.0,0.5,5,0,15,3.6213203435596424,0,./analysis/4x4/Pattern-Proj-24MAR/guesses/15guess7.bmp
g,2.7.11.14.13.8.4.1,0,0,1.0,1.0,8,2,1,6.492640687119285,0,./analysis/4x4/Pattern-Proj-24MAR/guesses/15guess6.bmp
g,4.5.6.7.11.10.9.8,0,0,1.0,1.0,8,4,8,5.25,0,./analysis/4x4/Pattern-Proj-24MAR/guesses/6guess8.bmp
g,0.1.2.3.6.9.12.13.14.15,0,0,1.0,1.0,10,0,15,7.681980515339463,0,./analysis/4x4/Pattern-Proj-24MAR/guesses/6guess9.bmp
g,0.5.10.15.14.13.12.9.6.3,0,0,1.0,1.0,10,0,3,8.613961030678928,0,./analysis/4x4/Pattern-Proj-24MAR/guesses/6guess6.bmp
g,0.1.2.3.7.11.15.14.13.12.8.4,0,0,1.0,1.0,12,0,4,8.25,0,./analysis/4x4/Pattern-Proj-24MAR/guesses/6guess7.bmp
g,5.10.9.6,0,0,1.0,1.0,4,5,6,2.8713203435596424,0,./analysis/4x4/Pattern-Proj-24MAR/guesses/6guess4.bmp
g,0.5.10.15.11.7.3.6.9.12,0,0,1.0,1.0,10,0,12,8.613961030678928,0,./analysis/4x4/Pattern-Proj-24MAR/guesses/6guess5.bmp
g,12.9.6.3.7.11.15.10.5.0,0,0,1.0,1.0,10,12,0,8.613961030678928,0,./analysis/4x4/Pattern-Proj-24MAR/guesses/6guess2.bmp
g,5.10.6.9,0,0,1.0,1.0,4,5,9,2.8713203435596424,0,./analysis/4x4/Pattern-Proj-24MAR/guesses/6guess3.bmp
g,9.6.10.5,0,0,1.0,1.0,4,9,5,2.8713203435596424,0,./analysis/4x4/Pattern-Proj-24MAR/guesses/6guess1.bmp
g,8.9.10.11.6.1.5.13,0,0,1.0,1.0,8,8,13,6.621320343559642,0,./analysis/4x4/Pattern-Proj-24MAR/guesses/8guess8.bmp
g,1.5.9.10.11.7.6.14,0,0,1.0,0.6666666666666666,8,1,14,6.0,0,./analysis/4x4/Pattern-Proj-24MAR/guesses/8guess9.bmp
g,0.4.8.12.13.14.15.11.7.3.2.1.5.9.10.6,0,0,1.0,1.0,16,0,6,11.25,0,./analysis/4x4/Pattern-Proj-24MAR/guesses/8guess4.bmp
g,2.5.8.9.10.14,0,0,1.0,1.0,6,2,14,4.371320343559642,0,./analysis/4x4/Pattern-Proj-24MAR/guesses/8guess5.bmp
g,2.6.10.14.13.12.9.3,0,0,1.0,1.0,8,2,3,6.931980515339463,0,./analysis/4x4/Pattern-Proj-24MAR/guesses/8guess6.bmp
g,12.8.4.5.9.6.3,0,0,0.5,0.6666666666666666,7,12,3,5.121320343559642,0,./analysis/4x4/Pattern-Proj-24MAR/guesses/8guess7.bmp
g,0.5.10.15.11.7.3.6.9.12,0,0,1.0,1.0,10,0,12,8.613961030678928,0,./analysis/4x4/Pattern-Proj-24MAR/guesses/8guess1.bmp
g,0.4.8.12.13.9.5.1.2.6.10.14.15.11.7.3,0,0,1.0,1.0,16,0,3,11.25,0,./analysis/4x4/Pattern-Proj-24MAR/guesses/8guess2.bmp
g,0.4.8.9.5.1.2.6.10.14.15,0,0,1.0,1.0,11,0,15,7.5,0,./analysis/4x4/Pattern-Proj-24MAR/guesses/8guess3.bmp
g,8.12.13.14.15.11.7.3,0,0,1.0,1.0,8,8,3,5.25,0,./analysis/4x4/Pattern-Proj-24MAR/guesses/20guess1.bmp
g,0.4.8.12.13.14.15.11.7.3.2.1,0,0,1.0,1.0,12,0,1,8.25,0,./analysis/4x4/Pattern-Proj-24MAR/guesses/15guess10.bmp
g,15.14.13.12.8.9.10.11.7.6.5.4.0.1.2.3,0,0,1.0,1.0,16,15,3,11.25,0,./analysis/4x4/Pattern-Proj-24MAR/guesses/0guess4.bmp
g,5.10.15.11.7.3.2.1.0.4.8.12.13.14,0,0,1.0,1.0,14,5,14,10.371320343559642,0,./analysis/4x4/Pattern-Proj-24MAR/guesses/5guess10.bmp
g,0.4.8.12.13.14.15.11.7.3.2.1.5.9.10.6,0,0,1.0,1.0,16,0,6,11.25,0,./analysis/4x4/Pattern-Proj-24MAR/guesses/0guess6.bmp
g,15.11.7.3.2.1.0.4.8.12.13.14.10.6.5.9,0,0,1.0,1.0,16,15,9,11.25,0,./analysis/4x4/Pattern-Proj-24MAR/guesses/0guess7.bmp
g,0.4.8.12.13.9.5.1.2.6.10.14.15.11.7.3,0,0,1.0,1.0,16,0,3,11.25,0,./analysis/4x4/Pattern-Proj-24MAR/guesses/0guess1.bmp
g,12.8.4.0.1.5.9.13.14.10.6.2.3.7.11.15,0,0,1.0,1.0,16,12,15,11.25,0,./analysis/4x4/Pattern-Proj-24MAR/guesses/0guess2.bmp
g,3.2.1.0.4.5.6.7.11.10.9.8.12.13.14.15,0,0,1.0,1.0,16,3,15,11.25,0,./analysis/4x4/Pattern-Proj-24MAR/guesses/0guess3.bmp
